Time/S,Force/N
0,-0.225695
0.01,-0.2260049
0.02,-0.2261003
0.03,-0.225838
0.04,-0.225385
0.05,-0.2251625
0.06,-0.2254089
0.07,-0.2258698
0.08,-0.2260526
0.09,-0.2257903
0.1,-0.225393
0.11,-0.225234
0.12,-0.2253215
0.13,-0.2254486
0.14,-0.2254566
0.15,-0.2254725
0.16,-0.2256314
0.17,-0.2258937
0.18,-0.2259652
0.19,-0.2257586
0.2,-0.2255201
0.21,-0.2254089
0.22,-0.2254327
0.23,-0.2256076
0.24,-0.225838
0.25,-0.2259811
0.26,-0.2258937
0.27,-0.2256155
0.28,-0.2253612
0.29,-0.2252976
0.3,-0.2254725
0.31,-0.2255917
0.32,-0.2254566
0.33,-0.225234
0.34,-0.2252261
0.35,-0.2254486
0.36,-0.2256791
0.37,-0.2257824
0.38,-0.2256711
0.39,-0.2254963
0.4,-0.2254327
0.41,-0.2254566
0.42,-0.2254963
0.43,-0.2255042
0.44,-0.2254963
0.45,-0.2254804
0.46,-0.2254089
0.47,-0.225385
0.48,-0.2255837
0.49,-0.2258539
0.5,-0.2258778
0.51,-0.2255837
0.52,-0.2252976
0.53,-0.2253453
0.54,-0.2256552
0.55,-0.2258937
0.56,-0.2258142
0.57,-0.2255042
0.58,-0.2252976
0.59,-0.2254327
0.6,-0.2257188
0.61,-0.2257903
0.62,-0.2256473
0.63,-0.2254089
0.64,-0.2252102
0.65,-0.2251943
0.66,-0.2253691
0.67,-0.2254963
0.68,-0.2254168
0.69,-0.2252579
0.7,-0.2252579
0.71,-0.2255917
0.72,-0.2260526
0.73,-0.2262115
0.74,-0.2259016
0.75,-0.2254963
0.76,-0.2255201
0.77,-0.2259493
0.78,-0.2262354
0.79,-0.2260923
0.8,-0.2257029
0.81,-0.2254486
0.82,-0.2254566
0.83,-0.2256473
0.84,-0.225838
0.85,-0.2258778
0.86,-0.2257665
0.87,-0.2255837
0.88,-0.2254566
0.89,-0.2254725
0.9,-0.2255678
0.91,-0.2256155
0.92,-0.2255599
0.93,-0.2254725
0.94,-0.2254725
0.95,-0.2256552
0.96,-0.2258698
0.97,-0.2258539
0.98,-0.2256076
0.99,-0.225393
1,-0.2254566
1.01,-0.2257586
1.02,-0.225989
1.03,-0.225989
1.04,-0.2257903
1.05,-0.2255281
1.06,-0.2253691
1.07,-0.2254486
1.08,-0.2257427
1.09,-0.2258698
1.1,-0.2257029
1.11,-0.2254168
1.12,-0.2253056
1.13,-0.2255837
1.14,-0.2259493
1.15,-0.2259652
1.16,-0.2255042
1.17,-0.2250274
1.18,-0.2250354
1.19,-0.2254566
1.2,-0.2257188
1.21,-0.2255599
